,HR,CI_lower_95,CI_upper_95,p_value
Age (per year),1.0152280251473895,1.0003363092508832,1.0303414296902953,0.04500975649987249
Male vs Female,0.986398603922609,0.6952442111590715,1.3994826425068274,0.9388354958932914
Stage II,0.7826602702890513,0.5119110944285906,1.1966083668741034,0.257917787356421
Stage III,1.3717983247850205,0.8836220062376189,2.1296783359840146,0.15894119100458898
Stage IV,3.1789212921659757,1.9003951408257602,5.317599674242028,1.0531467888707369e-05
Prior malignancy: Yes,1.1054953933736857,0.6683436080981512,1.8285804636452252,0.6960874798139558
Prior malignancy: Unknown,0.36975023782538907,0.0045389291838070795,30.120592949471906,0.6576405431453194
Residual disease: R+,1.907574485586938,1.0175663449460952,3.5760227685744033,0.04398059538963255
Residual disease: Unknown,1.481734764829479,0.9618256524184994,2.282677643067241,0.0745160513697475
Treatment received: Yes,0.8555484156160217,0.5746281044116399,1.2738031534544243,0.44233794883923794
Treatment received: Unknown,1.3829872250005997,0.7685184654271625,2.4887543378046963,0.27940712417696406
Race: Black,1.058958667640976,0.6197368071758902,1.8094672557566576,0.8340001082026173
Race: Asian,1.5301572335032787,0.4413526277902679,5.305012391033137,0.5024927029147029
Race: Other/Unknown,0.9030181522100282,0.5533191733394262,1.4737276828840196,0.6831244737777112
Ethnicity: Hispanic,3.1618188489312087,0.7275704713337092,13.740385058688533,0.12461705368992806
Ethnicity: Unknown,1.0606348016859246,0.6651140999698608,1.691358193426236,0.8047219963674862
