,HR,CI_lower_95,CI_upper_95,p_value
Age (per year),1.0344660300417685,1.001851538224167,1.0681422610851299,0.038159437006096524
Male vs Female,0.7885700996564161,0.4083449399734423,1.5228370458381904,0.47930689721273034
Stage II,0.7931811255935061,0.3561685649801027,1.766400406596601,0.5705752449249477
Stage III,1.1915662791643715,0.5481416610739844,2.5902614204870402,0.6581988664956546
Stage IV,2.559172742227838,1.0440668339566421,6.272936666077388,0.03995286154757626
Prior malignancy: Yes,0.5511718591562946,0.15387247063006096,1.974299997146188,0.3601511757894431
Prior malignancy: Unknown,0.47435432032130626,0.016365417739050193,13.749237862140117,0.6641680374497632
Residual disease: R+,2.6760379333539723,0.9029425965325599,7.930934976652381,0.07576939692903775
Residual disease: Unknown,0.5890689752817294,0.2334058383106487,1.486690565030461,0.26253881170166016
Treatment received: Yes,0.6235183561287354,0.31591663324331704,1.2306257395762012,0.1732821647043925
Treatment received: Unknown,1.4942251977418817,0.5311320391511353,4.203679644585404,0.44666016308177947
Race: Black,0.9415950409592794,0.18644839341800676,4.755209765585897,0.941937370585345
Race: Asian,0.9020967390149879,0.002463823533972675,330.29091382585204,0.9727096791294135
Race: Other/Unknown,0.7389894462085776,0.3280431366177565,1.6647365564120764,0.4654109613211467
Ethnicity: Unknown,0.8742219286511566,0.3948274700234793,1.9356910006517511,0.7403087986080108
