,HR,CI_lower_95,CI_upper_95,p_value
Age (per year),1.0127977430412765,0.9983503334011545,1.0274542252267027,0.0827872994914131
Male vs Female,1.037280983342119,0.7694079548306826,1.3984152771593965,0.8102175390504268
Stage II,0.912413687192257,0.6152788545747878,1.3530429826831936,0.6484234906599792
Stage III,1.5213827699711655,1.058914544350075,2.185828445850426,0.0232331261957372
Stage IV,2.846950546600743,1.6722275174273384,4.8469047006592225,0.00011626854964322329
Prior malignancy: Yes,0.7047914072238975,0.2623999423590346,1.8930298659020994,0.48767851675308194
Residual disease: R+,2.019751530456012,1.2454856829483962,3.275345755177518,0.004372627352001423
Residual disease: Unknown,3.2955843336454027,2.0301195556517837,5.3498701935719515,1.403484532434287e-06
Treatment received: Yes,0.6726907294336238,0.48994351052514706,0.923602022977943,0.01423227351791505
Treatment received: Unknown,1.102018386701593,0.701437920319493,1.7313642297456955,0.6734254481317243
Race: Black,1.0230029317608886,0.5087298542039997,2.057152710310008,0.9491240562206804
Race: Asian,0.862548467598187,0.5799426454533951,1.2828679952900077,0.46535070918979293
Race: Other/Unknown,0.815808826686212,0.502858589730742,1.3235212747494332,0.40959865535654205
Ethnicity: Hispanic,0.1049147455019055,0.021470058730443952,0.5126722736031378,0.005346762852867439
Ethnicity: Unknown,1.1224540904395197,0.7756592843417781,1.6242997545160038,0.5401087212829837
