feature,importance_mean,importance_std
Overall stage,0.041787882718278394,0.009475266941920366
N stage,0.03463978476131789,0.03357393925359741
Age,0.02790291470723339,0.02305354664771467
M stage,0.02062179982433897,0.009611641729180375
T stage,0.013412119903711241,0.006217548278440768
Treatment received,0.0069190714384324194,0.007571269086928421
Residual disease,0.004338781219002936,0.011922134579307837
Prior malignancy,0.0017765442546615884,0.0026209077481714653
Gender (Male),0.00029216001716936713,0.0034226895389310964
Ethnicity,-0.00047615447745533184,0.005182485098291235
Race,-0.006002258296900369,0.007944674468965332
