feature,importance_mean,importance_std
Age,0.09184545116873571,0.08869037617916471
T stage,0.0077347843228201376,0.01341599656919596
Treatment received,0.004049693061253327,0.035663760754372886
Overall stage,0.002206554672925851,0.1046935880738313
Race,0.002123936407469623,0.012590121670310933
Residual disease,0.0008911961929482992,0.0014475406175483716
M stage,0.0008318396541240912,0.006132083201139441
Prior malignancy,0.0,0.0
Ethnicity,-1.7049212418436718e-05,0.0077277482975198165
Gender (Male),-0.0007085747284090426,0.017448969895338354
N stage,-0.023855426057173546,0.08715804699645484
